,channel_name,channel_url
0,Marley Dockery,https://www.youtube.com/user/MrCornholelio
1,Oggy Hindi - हिन्दी,https://www.youtube.com/channel/UC9TgvYNUsMBPl6J2xbL-4qg
2,Quantum Tech HD,https://www.youtube.com/c/QuantumTech
3,PRANAV YT FF,https://www.youtube.com/channel/UCWxmHsZD62sHUQy-Jt1-IgQ
4,HouseMusicHD,https://www.youtube.com/c/FutureHouseHD
5,Inventor 101,https://www.youtube.com/c/Inventor101
6,What The Fukrey,https://www.youtube.com/c/WhatTheFukrey
7,Ujjwal,https://www.youtube.com/c/UjjwalGamer
8,Be YouNick,https://www.youtube.com/user/beyounick
9,Sony Music India,https://www.youtube.com/c/SonyMusicIndia
10,Arun Karthick,https://www.youtube.com/channel/UC_GYQT7DtaHaRbSeXyWBZyA
11,Elvish yadav,https://www.youtube.com/c/TheSocialFactory
12,Lahari Music | T-Series,https://www.youtube.com/c/laharimusic
13,Star Sports,https://www.youtube.com/c/starsports
14,ARE YOU HUNGRY,https://www.youtube.com/channel/UCbI1isiymwEX8M7asO222Fg
15,Half Engineer,https://www.youtube.com/c/HalfEngineer
16,Star Maa,https://www.youtube.com/c/StarMaaTV
17,Creative Thinks,https://www.youtube.com/c/CreativeThinks
18,Shanmukh Jaswanth,https://www.youtube.com/c/ShanmukhJaswanth
19,Royal Challengers Bangalore,https://www.youtube.com/user/RoyalChallengersTV
20,WB Kids Italiano,https://www.youtube.com/c/WBKidsItaliano
21,A2 {Amazing Facts},https://www.youtube.com/c/A2AmazingFacts-by-a2_sir
22,Taarak Mehta Ka Ooltah Chashmah,https://www.youtube.com/c/TaarakMehtaKaOoltahChashmah
23,Goldmines Telefilms,https://www.youtube.com/c/GoldminesTelefilms
24,BE NATURAL,https://www.youtube.com/c/BENATURALIndia
25,Czn Burak,https://www.youtube.com/c/CznBurak
26,FS United,https://www.youtube.com/c/FSUnited
27,Top Viral Talent,https://www.youtube.com/user/MusicTalentNow
28,RIGADA FF,https://www.youtube.com/channel/UClbAsQissZgqW1GSvTpVwyw
29,JoBlo Superheroes,https://www.youtube.com/c/JoBloSuperheroes
30,KH Survival,https://www.youtube.com/c/ProMengSeu
31,KHANDESHI MOVIES,https://www.youtube.com/c/KHANDESHIMOVIES
32,Sony Music India,https://www.youtube.com/c/SonyMusicIndia
33,Crazy XYZ,https://www.youtube.com/c/CrazyXYZ
34,Dolliyon,https://www.youtube.com/channel/UCU_WvJO0TLvtscL53Ifb1Dg
35,Waa Sop,https://www.youtube.com/c/Waasop
36,Classic Mr Bean,https://www.youtube.com/c/ClassicMrBean
37,Interesting Facts,https://www.youtube.com/c/InterestingFactsClub
38,Travel Thirsty,https://www.youtube.com/c/TravelThirstyBlog
39,FailArmy,https://www.youtube.com/c/FailArmyNation
40,MegaStar yt,https://www.youtube.com/channel/UCRvYlHSyM9shVhxXjOI9JnA
41,T-Series,https://www.youtube.com/aashiqui2
42,JaiPhone,https://www.youtube.com/c/JaiPhone
43,Blockbuster Movies,https://www.youtube.com/channel/UCW3VI9s3Dw8o1ekgjI3FCzw
44,HAR PAL GEO,https://www.youtube.com/c/HarPalGeoOfficial
45,Village Cooking Channel,https://www.youtube.com/c/VillageCookingChannel
46,ashish chanchlani vines,https://www.youtube.com/c/ashishchanchlanivines
47,Drama Clipz,https://www.youtube.com/channel/UCAYIanoVPSh6--mxab2eNQg
48,WildBrain Kids,https://www.youtube.com/c/WildBrainTV
